area,bedrooms,size_sqft,age_years,freehold,price_aed
JVC,2,1403,22,0,974000
Mirdif,0,467,2,1,367000
Dubai Marina,1,703,8,1,1178000
Dubai Marina,4,2750,3,1,4024000
Downtown,4,2676,7,1,4630000
JVC,3,2039,13,1,1776000
Arabian Ranches,0,466,7,1,572000
JVC,0,431,1,0,359000
JVC,2,1086,12,1,1011000
Al Barsha,2,1310,1,1,1349000
JBR,0,350,5,1,535000
Dubai Hills,3,,0,1,2891000
Dubai Hills,2,1502,2,1,2263000
JVC,0,597,10,1,471000
Deira,0,553,21,1,347000
Downtown,2,1331,19,0,2055000
Al Barsha,3,2112,2,0,2060000
Business Bay,4,2601,0,1,4002000
Dubai Hills,2,1324,8,1,1782000
Dubai Hills,1,519,16,0,586000
Deira,4,,18,0,1376000
JVC,2,1307,20,1,1037000
Downtown,1,494,8,0,881000
Dubai Marina,2,1294,4,0,1850000
Business Bay,0,380,0,0,463000
Deira,1,866,3,1,620000
Dubai Marina,2,1407,1,1,2177000
Deira,4,2601,21,1,1277000
Dubai Hills,3,1980,6,1,2383000
JBR,3,1955,20,1,2772000
Business Bay,2,1276,13,1,1164000
Dubai Hills,0,350,13,1,441000
Business Bay,1,632,11,1,720000
JBR,4,2510,20,0,3582000
Arabian Ranches,0,350,1,1,436000
Arabian Ranches,4,2661,2,1,3589000
JBR,3,1997,10,0,2893000
Downtown,1,436,9,0,746000
Downtown,3,1935,13,0,3286000
Arabian Ranches,4,2719,18,0,2566000
Mirdif,0,517,14,0,372000
Mirdif,0,513,6,1,368000
Al Barsha,3,1955,8,1,1899000
Mirdif,4,2499,18,1,1767000
Business Bay,0,350,5,1,473000
JBR,3,1991,12,0,3342000
Arabian Ranches,0,436,13,1,453000
Al Barsha,3,2104,18,1,1541000
Al Barsha,3,,17,1,1602000
Downtown,0,374,11,1,682000
Downtown,3,1801,7,1,3422000
Dubai Marina,4,2562,9,1,3629000
JBR,4,2626,10,0,3576000
Dubai Hills,0,366,5,1,537000
Dubai Hills,1,581,15,0,602000
Business Bay,1,680,5,1,953000
Business Bay,2,1240,16,1,1680000
Deira,0,350,18,1,208000
JVC,4,2637,24,0,1867000
Deira,3,1902,2,1,1311000
Al Barsha,4,2629,18,0,1763000
Business Bay,0,423,2,1,536000
Downtown,0,350,8,1,576000
Al Barsha,4,2542,4,0,2140000
Arabian Ranches,1,823,4,1,1170000
Downtown,3,1811,4,1,3515000
Arabian Ranches,4,2346,1,0,2985000
Dubai Hills,0,350,20,1,381000
Al Barsha,0,393,1,1,402000
Downtown,0,394,9,1,755000
Al Barsha,0,376,17,1,313000
Al Barsha,0,536,24,0,398000
JBR,4,2279,21,0,2853000
JBR,3,1998,3,1,3344000
Dubai Hills,4,,24,0,2465000
Dubai Marina,4,2465,16,1,2641000
Downtown,4,2554,4,1,4749000
JVC,1,560,11,1,487000
Al Barsha,1,543,22,0,359000
Al Barsha,4,2561,9,1,2392000
JBR,1,821,4,1,1401000
Deira,0,610,21,1,278000
Dubai Marina,3,1910,23,0,1922000
Mirdif,4,2829,24,1,1747000
Deira,4,2604,23,1,1429000
Deira,4,2810,21,0,1336000
Downtown,0,379,11,1,665000
Deira,3,1966,4,1,1488000
JBR,4,2644,15,1,4111000
Dubai Hills,3,2331,5,1,3196000
JVC,4,,11,1,2252000
Business Bay,4,2515,16,0,2509000
Dubai Marina,2,1416,23,1,1675000
Mirdif,0,350,7,1,274000
Business Bay,2,1241,6,0,1573000
Arabian Ranches,1,759,18,1,789000
JVC,0,394,0,1,419000
Business Bay,0,423,14,0,461000
Deira,3,,18,1,1195000
Dubai Marina,2,1340,13,0,1815000
Mirdif,2,1351,9,0,902000
Mirdif,3,1718,20,1,938000
Business Bay,2,1380,9,1,1888000
Downtown,3,1832,17,1,2969000
Dubai Marina,0,350,11,1,413000
Al Barsha,4,2593,0,1,2567000
Al Barsha,2,1310,13,1,1233000
Downtown,0,350,1,0,642000
Dubai Marina,4,2700,23,0,2812000
JBR,3,1789,15,0,2773000
Dubai Marina,0,350,9,1,451000
Deira,0,350,12,1,206000
Deira,0,384,15,1,235000
JBR,1,683,6,1,1167000
Mirdif,0,350,7,0,267000
JBR,3,2037,10,1,3433000
Business Bay,2,1308,6,1,1683000
Dubai Hills,4,2373,18,0,2707000
Mirdif,3,1715,2,1,1377000
Deira,3,1949,20,1,1094000
Dubai Marina,2,1273,8,1,1828000
JBR,0,378,14,1,571000
Downtown,0,387,3,0,753000
Business Bay,3,1977,9,1,2514000
Al Barsha,0,504,18,0,397000
Mirdif,0,350,6,0,243000
Business Bay,1,509,3,0,641000
Al Barsha,4,2469,13,1,2183000
JVC,2,1335,4,1,1287000
Dubai Hills,3,2099,7,0,3167000
JVC,2,1248,11,1,1035000
JBR,0,350,14,1,537000
Al Barsha,1,446,15,0,397000
Dubai Marina,0,350,16,1,449000
JBR,3,1883,21,0,2842000
Downtown,0,,1,0,637000
Downtown,1,655,9,0,1139000
JBR,4,2563,0,1,4283000
Dubai Marina,2,1426,0,0,2079000
Arabian Ranches,2,1219,5,1,1534000
Al Barsha,2,1197,14,0,1063000
JBR,3,2007,22,0,2575000
Downtown,1,466,19,0,752000
Dubai Hills,3,1997,16,1,2354000
Al Barsha,4,2612,19,1,2061000
Arabian Ranches,2,1282,4,1,1948000
Mirdif,2,1491,20,1,982000
Dubai Hills,0,350,22,1,357000
JVC,1,897,2,1,825000
JBR,4,,11,1,3686000
Deira,2,1147,20,0,656000
Deira,1,658,11,0,388000
Dubai Marina,2,,21,1,1394000
Mirdif,2,1210,23,0,697000
Dubai Marina,2,1348,11,1,1951000
Mirdif,3,2017,1,1,1561000
Deira,1,575,8,1,349000
JBR,3,2068,5,0,3364000
JVC,2,1439,11,0,1244000
JBR,4,2772,14,0,4025000
Dubai Hills,0,454,11,0,516000
Al Barsha,0,554,4,0,556000
Dubai Marina,2,1074,7,1,1457000
Business Bay,2,1262,16,1,1334000
Al Barsha,3,1846,0,1,1792000
Business Bay,2,1314,5,0,1773000
JBR,4,2531,22,1,3494000
JVC,2,1280,2,1,1306000
Dubai Hills,0,616,10,0,835000
Arabian Ranches,0,370,5,1,559000
Business Bay,4,2650,2,0,2903000
Al Barsha,0,,10,1,315000
Dubai Hills,4,2609,13,0,2931000
Downtown,1,651,4,0,1097000
Al Barsha,0,444,1,1,421000
Al Barsha,1,790,3,0,743000
JVC,3,2148,16,1,1563000
Dubai Marina,2,1337,21,1,1617000
Dubai Hills,3,2021,4,1,2840000
Dubai Hills,3,1812,8,0,2382000
JBR,2,1289,8,1,2164000
Arabian Ranches,3,2063,9,1,2532000
Deira,4,2704,6,0,1704000
JBR,2,1325,1,1,2733000
Mirdif,0,496,13,1,358000
JBR,2,1359,8,1,1866000
Mirdif,4,2744,8,1,1917000
JVC,1,685,6,0,520000
Dubai Marina,4,2557,23,1,2920000
Al Barsha,2,1340,15,1,1142000
JBR,3,1598,10,0,2301000
Dubai Hills,1,696,5,1,1116000
JBR,4,2162,20,0,2916000
Al Barsha,0,350,22,1,286000
Mirdif,1,704,0,0,521000
Deira,2,1357,23,0,633000
JVC,2,1161,17,0,881000
JVC,2,1215,2,1,1199000
Arabian Ranches,0,554,18,1,485000
Mirdif,1,592,2,0,456000
Deira,0,659,1,1,479000
Dubai Marina,2,1300,2,1,1964000
Arabian Ranches,1,699,11,1,745000
JBR,2,1494,15,0,1993000
Downtown,2,1316,10,0,2169000
Deira,3,1830,3,1,1306000
Downtown,2,1287,4,0,2441000
Mirdif,3,1946,21,1,1328000
JVC,2,1136,24,1,788000
Downtown,3,1919,18,1,2892000
Business Bay,3,1861,2,1,2566000
Dubai Hills,1,761,20,1,892000
Mirdif,1,654,17,0,402000
Arabian Ranches,3,1916,13,0,2149000
Al Barsha,1,637,3,1,695000
Deira,2,1327,24,1,766000
Mirdif,0,464,11,1,386000
Arabian Ranches,2,1180,1,0,1356000
Downtown,2,1175,5,0,2101000
JVC,3,2083,10,0,1743000
JBR,2,1251,1,1,2189000
Business Bay,1,480,8,1,562000
Al Barsha,4,2653,11,1,2131000
JVC,2,1356,23,1,987000
